,"Carman and Cederwall Table 11.4, A systems analysif of the Baltic Sea",,,,,,,,,
,,C,,N,,P,,,,
Basin,Sed_depth,TotC_ton_km-2,TotC_ton,TotN_ton_km-2,TotN_ton,TotP_ton_km-2,TotP_ton,A_bott_percent,T_bott_percent,E_bott_percent
Bothnian Bay,0-1 cm,67,1210000,6.6,120000,1.5,27000,33,43,24
Bothnian Bay,0-5 cm,288,5200000,27.5,500000,11.4,205000,33,43,24
Bothnian Sea,0-1 cm,68,1420000,7.1,130000,3,62000,30,46,24
Bothnian Sea,0-5 cm,309,5600000,31.7,570000,15.6,281000,30,46,24
Baltic Proper,0-1 cm,90,6670000,11,810000,2,149000,38,38,24
Baltic Proper,0-5 cm,404,30000000,48.2,3600000,7.6,564000,38,38,24
Gulf of Finland,0-1 cm,96,1180000,11.7,140000,4.1,51000,41,39,19
Gulf of Finland,0-5 cm,415,5100000,51,630000,13.9,171000,41,39,19
Gulf of Riga,0-1 cm,76,410000,8.6,50000,2.7,14500,28,39,33
Gulf of Riga,0-5 cm,445,2400000,52.8,280000,13.8,74000,28,39,33
All,0-5 cm,NA,48300000,NA,5600000,NA,1295000,NA,NA,NA
