cm,cn,umol/g,umol/g,umol/g,umol/g,umol/g,
sed_depth,thickness,Ntot,Corg,Fe_P,Org_P,Tot_P,station
0.25,0.5,519,4745,41,13,69,BY2_Jilbert
0.75,0.5,483,4493,45,13,68,BY2_Jilbert
1.25,0.5,431,4040,66,12,80,BY2_Jilbert
1.75,0.5,464,4374,72,11,75,BY2_Jilbert
2.5,1,452,4272,27,7,53,BY2_Jilbert
3.5,1,466,4397,25,11,51,BY2_Jilbert
4.5,1,444,4243,11,12,36,BY2_Jilbert
5.5,1,438,4159,11,10,37,BY2_Jilbert
6.5,1,447,4257,13,11,40,BY2_Jilbert
7.5,1,426,4098,7,10,34,BY2_Jilbert
8.5,1,418,4062,7,11,34,BY2_Jilbert
9.5,1,425,4111,7,10,36,BY2_Jilbert
11,2,386,3720,5,10,32,BY2_Jilbert
13,2,374,3638,4,9,30,BY2_Jilbert
15,2,370,3598,4,9,30,BY2_Jilbert
17,2,448,3939,3,9,29,BY2_Jilbert
19,2,404,3861,4,9,28,BY2_Jilbert
21,2,394,3848,4,9,30,BY2_Jilbert
23,2,284,2807,4,9,31,BY2_Jilbert
25,2,394,3905,5,10,30,BY2_Jilbert
27,2,413,4068,4,9,31,BY2_Jilbert
29,2,414,4104,5,10,33,BY2_Jilbert
0.25,0.5,257,2322,NA,6,38,LF1
0.75,0.5,235,2039,NA,7,26,LF1
1.25,0.5,211,1852,NA,6,26,LF1
1.75,0.5,214,1881,NA,6,25,LF1
2.5,1,183,1609,NA,6,22,LF1
3.5,1,129,1181,NA,4,19,LF1
4.5,1,97,887,NA,4,17,LF1
5.5,1,134,1228,NA,4,19,LF1
6.5,1,132,1224,NA,4,18,LF1
7.5,1,217,2006,NA,6,21,LF1
8.5,1,245,2262,NA,7,22,LF1
9.5,1,137,1292,NA,5,19,LF1
11,2,122,1176,NA,4,19,LF1
13,2,98,946,NA,3,15,LF1
15,2,84,821,NA,3,17,LF1
17,2,96,966,NA,3,18,LF1
19,2,73,733,NA,3,16,LF1
21,2,60,611,NA,2,17,LF1
23,2,84,888,NA,3,17,LF1
25,2,67,688,NA,5,17,LF1
0.25,0.5,534,4943,NA,11,46,LF1.5
0.75,0.5,494,4119,NA,9,34,LF1.5
1.25,0.5,438,3787,NA,9,33,LF1.5
1.75,0.5,467,3974,NA,10,36,LF1.5
2.5,1,308,2680,NA,8,28,LF1.5
3.5,1,352,3024,NA,7,29,LF1.5
4.5,1,250,2171,NA,6,24,LF1.5
5.5,1,241,2033,NA,6,23,LF1.5
6.5,1,181,1572,NA,5,21,LF1.5
7.5,1,152,1367,NA,5,20,LF1.5
8.5,1,208,1894,NA,5,21,LF1.5
9.5,1,194,1754,NA,6,20,LF1.5
11,2,176,1629,NA,5,22,LF1.5
13,2,232,2164,NA,6,25,LF1.5
15,2,229,2136,NA,6,23,LF1.5
17,2,83,780,NA,3,17,LF1.5
19,2,107,997,NA,3,17,LF1.5
21,2,104,1005,NA,3,19,LF1.5
23,2,102,997,NA,4,18,LF1.5
25,2,199,1928,NA,4,20,LF1.5
0.25,0.5,844,7948,NA,19,54,LF3
0.75,0.5,727,7101,NA,14,43,LF3
1.25,0.5,632,6158,NA,10,36,LF3
1.75,0.5,493,4669,NA,13,32,LF3
2.5,1,476,4524,NA,15,31,LF3
3.5,1,486,4570,NA,11,31,LF3
4.5,1,461,4357,NA,12,31,LF3
5.5,1,462,4309,NA,9,30,LF3
6.5,1,458,4331,NA,12,30,LF3
7.5,1,448,4360,NA,12,29,LF3
8.5,1,326,3054,NA,8,26,LF3
9.5,1,342,3260,NA,9,26,LF3
11,2,252,2296,NA,7,23,LF3
13,2,290,2683,NA,7,24,LF3
15,2,471,4584,NA,12,30,LF3
17,2,390,3809,NA,9,27,LF3
19,2,275,2511,NA,7,24,LF3
21,2,235,2082,NA,8,22,LF3
23,2,200,1713,NA,5,23,LF3
26,4,204,1770,NA,5,22,LF3
30,4,245,2225,NA,7,24,LF3
0.25,0.5,1133,11690,NA,NA,NA,F80
0.75,0.5,1248,13100,NA,18,65,F80
1.25,0.5,1102,11873,NA,25,58,F80
1.75,0.5,1139,12510,NA,33,60,F80
2.5,1,1215,13686,NA,27,63,F80
3.5,1,1060,11283,NA,NA,56,F80
4.5,1,968,9694,NA,22,50,F80
5.5,1,733,7575,NA,17,41,F80
6.5,1,790,8319,NA,18,43,F80
7.5,1,840,8923,NA,20,46,F80
8.5,1,733,7836,NA,18,46,F80
9.5,1,732,7661,NA,19,43,F80
11,2,734,7794,NA,18,38,F80
13,2,728,7614,NA,26,41,F80
15,2,665,6803,NA,18,44,F80
17,2,677,6877,NA,16,40,F80
19,2,721,7356,NA,14,39,F80
21,2,644,6595,NA,11,38,F80
23,2,595,6296,NA,15,38,F80
25,2,223,2448,NA,7,36,F80
27,2,184,2122,NA,6,36,F80
29,2,188,2152,NA,9,44,F80
32,4,172,2170,NA,8,30,F80
0.25,0.5,906,9857,NA,14,55,LL19
0.75,0.5,1022,11376,NA,17,58,LL19
1.25,0.5,979,10721,NA,19,55,LL19
1.75,0.5,913,9729,NA,16,51,LL19
2.5,1,789,8180,NA,16,43,LL19
3.5,1,686,7357,NA,14,41,LL19
4.5,1,649,7031,NA,14,40,LL19
5.5,1,664,7055,NA,12,44,LL19
6.5,1,602,6326,NA,11,41,LL19
7.5,1,605,6443,NA,13,39,LL19
8.5,1,554,5983,NA,NA,NA,LL19
9.5,1,282,3119,NA,7,31,LL19
11,2,204,2394,NA,6,28,LL19
13,2,172,2063,NA,6,27,LL19
15,2,153,1843,NA,5,28,LL19
17,2,147,1781,NA,5,26,LL19
19,2,147,1807,NA,5,25,LL19
21,2,137,1628,NA,5,26,LL19
23,2,142,1642,NA,5,26,LL19
25,2,137,1602,NA,6,27,LL19
0.25,0.5,896,9059,NA,19,52,BY15
0.75,0.5,959,9645,NA,18,52,BY15
1.25,0.5,752,7951,NA,16,45,BY15
1.75,0.5,18,41,NA,NA,NA,BY15
2.25,0.5,800,8244,NA,19,40,BY15
2.75,0.5,890,8862,NA,16,40,BY15
3.25,0.5,807,8425,NA,18,37,BY15
3.75,0.5,708,7129,NA,NA,NA,BY15
4.25,0.5,829,7821,NA,16,37,BY15
5,1,479,5004,NA,12,34,BY15
6,1,347,3751,NA,12,35,BY15
7,1,296,3229,NA,9,34,BY15
8,1,241,2760,NA,9,29,BY15
9,1,257,3117,NA,10,29,BY15
10.5,2,220,2771,NA,9,34,BY15
12.5,2,227,2763,NA,9,34,BY15
14.5,2,237,2789,NA,10,35,BY15
16.5,2,219,2595,NA,31,NA,BY15
18.5,2,233,2695,NA,9,33,BY15
20.5,2,254,2854,NA,9,33,BY15
22.5,2,252,2888,NA,10,32,BY15
24.5,2,232,2749,NA,9,33,BY15
26.5,3,220,2695,NA,8,27,BY15
29.5,2,252,2921,NA,9,30,BY15
33,2,300,3364,NA,10,30,BY15
35,1,316,3642,NA,10,30,BY15
36,1,315,3753,NA,10,32,BY15
37,1,323,3784,NA,10,34,BY15
38,1,346,3890,NA,10,40,BY15
39,1,314,3686,NA,9,38,BY15
