,g m2 yr',percent,umol_g-1,umol_g-1,umol_g-1,umol_g-1,umol_g-1,umol_g-1,umol_g-1,umol_g-1,,,Latitude,Longitude,m,,umol_L-1,umol_L-1,umol_L-1,umol_L-1,umol_L-1,umol_L-1,umol_L-1,umol_L-1,mL_L-1,umol_m-2_d-1
Station,SAR,W_content,TP,TC,TN,TS,TFe,TAl,TMn,TCa,C:N,C:OP,dec_degreee,dec_degreee,Depth,Salinity,O2,PO4-P,TP,NO3-N,NH4-N,TN,SiO4-Si,Fe,Mn,PO4-P_flux
Paila10,4580*,83,47.2,2024,188,65.9,1139,3544,13.1,218,10.8,148,60.37,22.58,12,NA,6.2,0.4,1.8,0.4,5.1,33.6,20.4,0.1,1.6,NA
Paila14,5540*,88,76.1,2555,230,122,1393,3910,17.9,243,11.1,156,60.33,22.52,29,6.2,2.9,0.7,2.5,7.6,7.7,45.1,23.7,0.7,6,278
AS5,4650*,91,67.8,2763,355,149,1087,2848,13.7,257,7.8,174,60.31,22.5,33,6.3,1.7,0.9,3.2,14.1,7.2,41.4,27.7,1.4,10.2,-4.2
AS3,840*,87,59,2952,243,105,947,3020,11.9,292,12.2,173,60.22,22.43,19,6.3,6.1,0.3,3.2,1.5,2.3,44.1,14.3,0.4,1.1,24.4
Ahla2,730,91,41.3,4450,321,112,601,2497,9.9,245,13.9,303,60.46,26.48,4,NA,6.4,0.9,2.3,3.6,8.5,37.9,24.1,5.2,2.7,NA
Ahla6,660,92,76.3,4138,314,150,830,2869,11.8,291,13.2,208,60.42,26.48,7,NA,4.3,1.6,2.9,3.1,8.6,47.8,19.3,1.5,0.9,NA
Ahla9,1373,92,93.1,4429,436,168,813,2597,16.1,239,10.2,210,60.4,26.5,13,NA,4.5,2.9,4,3.6,10.8,34.7,21.7,3,0.9,671
AS2,900*,89,82.3,5545,640,129,797,2630,18,242,8.7,180,60.08,22.26,47,6.6,4.9,1.4,3.2,3.6,3.5,34.4,16.9,8.9,2.2,46
C63,-,85,41.2,3821,428,167,567,2268,13.2,299,8.9,229,59.9,24.21,45,6,8.6,1,1.9,3.3,0.6,27.7,15.8,0.5,0.4,NA
BISA1,990,96,88,9150,1017,396,587,1784,39.6,249,9,122,60.41,27.61,29,5.7,3.8,2.8,6.5,5.4,8,43.2,26.2,1.1,5.2,1065
BZ1,430,96,79.9,9179,1082,446,465,1706,27.4,220,8.5,141,60.34,26.58,40,6.1,3.4,4.3,5.9,11.9,10.8,41.4,37.8,12.3,15,193
AS7,840*,91,41.6,4048,417,340,833,2408,9.9,316,9.7,280,59.47,21.94,71,8.6,1.6,3.4,2.8,5.5,5.8,28.7,48.7,0,2.2,198
JML,170*,96,46,6348,580,382,635,1929,12.6,262,10.9,254,59.58,23.63,79,8.2,1.8,3.9,4,3.6,2.5,19.7,44.9,0.5,4.3,-209
GF1,350*,94,46.1,7432,795,556,691,2293,8.1,270,9.4,273,59.71,24.68,83,8.5,0,5.2,7.6,0.4,6.6,32,53.8,0.2,12.2,1370
E3,-,93,49.3,5224,478,603,1107,2532,116,285,10.9,220,59.75,25.25,89,9.7,0.4,3.8,3.5,1.6,8.3,10.3,53.4,0.9,16.6,207
GF2B,-,94,91.3,6448,657,338,717,2059,502,255,9.8,209,59.84,25.86,85,9.5,0.8,3.4,4.1,8,2.8,28.8,47.3,0.6,4.3,-135
GF2F,958,93,81.7,6765,650,424,2049,2550,381,443,10.4,253,59.84,25.86,84,9.5,0.8,3.3,3.4,6.9,2.5,27.5,48.7,0.5,2.4,357
GF2K,-,92,76.3,6082,603,448,853,2345,320,291,10.1,202,59.84,25.87,83,9.5,1,4.1,4.8,7.4,3.3,31.2,50.8,0.8,13,299
LL3a,329,89,88.4,6261,653,278,821,2462,82.5,234,9.6,194,60.08,26.33,63,8.2,2.4,3.1,3.7,10.4,0.8,29.7,40.1,0.8,1.6,-245
XV1,330,95,62.7,10116,975,504,634,1810,16,209,10.4,160,60.25,27.27,58,7,2.5,2.8,5.6,11.6,5.1,43.7,43.5,1.2,13.9,1774
